uid,Name,中文名 ,分类学地位 ,Class,活病毒培养、感染性材料核酸提取,动物感染 ,未灭活样本的检测、诊断 ,已确认灭活材料的实验操作 ,重组病毒,Note
1,Alastrim ,类天花病毒,痘病毒科 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
2,Congo Crimean haemorrhagic fever TBE ,刚果—克里米亚出血热,布尼雅病毒科 / 内罗病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
3,Eastern equine encephalomyelitis(EEE) ,东方马脑炎病毒 ,披膜病毒科/甲病毒属 ,A ,BSL-3,ABSL-3,BSL-2 ,BSL-1,  ,  
4,Ebola virus ,埃博拉病毒,丝状病毒科/丝状病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
5,Guanarito virus ,瓜纳瑞托病毒 ,沙粒病毒科 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
6,"Hanzalova, TBE ",Hanzalova ,黄病毒科/黄病毒属(B 群虫媒病毒),A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,病毒，蜱传,,,,,,,,
,,脑炎 ,,,,,,,,
7,Hazara virus ,哈乍拉病毒,Bunyaviridae ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
8,Herpesvirus simiae (B virus) ,猿疱疹病毒 ,疱疹病毒科/a 疱疹病毒亚科 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,(B 病毒) ,,,,,,,,
,,,,,,,,,,
9,"Hypr, TBE ",Hypr 病毒，蜱传脑炎 ,黄病毒科/黄病毒属(B 群虫媒病毒),A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
10,Junin virus ,胡宁病毒,沙粒病毒科 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,(阿根廷出血热病毒) ,,,,,,,,
11,"Kumlinge virus, TBE ","Kumlinge 病毒, 蜱传脑",黄病毒科/黄病毒属(B 群虫媒病毒),A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,炎 ,,,,,,,,
12,"Kyasanur Forest disease virus, TBE","卡萨诺尔森林病病毒, 蜱传脑炎 ",黄病毒科/黄病毒属(B 群虫媒病毒),A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,,,,,,,,,
13,Lassa fever virus ,拉沙热病毒,沙粒病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
14,"Looping ill, TBE ",Looping 病，,黄病毒科/黄病毒属(B 群虫媒病毒),A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,蜱传脑炎 ,,,,,,,,
15,Machupo virus ,马丘波病毒,沙粒病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
16,Marburg virus ,马尔堡病毒,丝状病毒科/丝状病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
17,Monkeypox virus ,猴痘病毒 ,痘病毒科 ,A ,BSL-3,BSL-3 ,BSL-2 ,BSL-2,  ,有疫苗 
18,Mopeia virus (and other ,Mopeia病毒,沙粒病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,Tacaribe viruses) ,(和其他,,,,,,,,
,,Tacaribe 病毒) ,,,,,,,,
19,Nipah virus ,尼巴病毒 ,副黏液病毒 ,A ,BSL-3,ABSL-3,BSL-2 ,BSL-1,  ,  
,,,,,,,,,,
20,Omsk(heamorrhagic fever) TBE,鄂木斯克出血热病毒，蜱传脑炎 ,黄病毒科/黄病毒属(B 群虫媒病毒),A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
21,"Russian spring-summer encephalitis,TBE ",俄罗斯春夏脑炎病毒 ,黄病毒科/黄病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
22,Sabia virus ,Sabia 病毒 ,沙粒病毒科/沙粒病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
23,St.Louis encephalitis virus ,圣路易斯脑炎病毒 ,黄病毒科/黄病毒属 ,A ,BSL-3,ABSL-3,BSL-2 ,BSL-1,  ,  
24,Tacaribe complex ,Tacaribe 复,沙粒病毒科 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
,,合体 ,,,,,,,,
25,Tick borne encephalomyelitis ,蜱传脑炎病毒 ,黄病毒科 ,A ,BSL-3,ABSL-3,BSL-2 ,BSL-1,  ,有疫苗 
26,Tick borne virus ,蜱传病毒 ,黄病毒科/黄病毒属 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,  
27,Variola virus ,天花病毒 ,痘病毒科 ,A ,BSL-4,ABSL-4,BSL-2 ,BSL-1,  ,有疫苗 
28,Venezuelan equine encephalitus virus ,委内瑞拉马脑炎病毒 ,披膜病毒科/甲病毒属 ,A ,BSL-3,ABSL-3,BSL-2 ,BSL-1,  ,  
29,Western equine encephalomyelitis(WEE) ,西方马脑炎病毒 ,披膜病毒科/甲病毒属 ,A ,BSL-3,ABSL-3,BSL-2 ,BSL-1,  ,有疫苗 
